日期,時段名稱,具體時間,節氣,年柱,年納音,月柱,月納音,日柱,日納音,時柱,時納音,胎元,命宮,年星,月星,日星,時星,時星五行
1978-01-05,巳時,09:00-11:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,乙巳,覆燈火,壬辰,巳宮,五黃,九紫,七赤,六白,金
1978-01-05,午時,11:00-13:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,丙午,天河水,壬辰,辰宮,五黃,九紫,七赤,七赤,金
1978-01-05,未時,13:00-15:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,丁未,天河水,壬辰,卯宮,五黃,九紫,七赤,八白,土
1978-01-05,申時,15:00-17:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,戊申,大驛土,壬辰,寅宮,五黃,九紫,七赤,九紫,火
1978-01-05,酉時,17:00-19:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,己酉,大驛土,壬辰,丑宮,五黃,九紫,七赤,一白,水
1978-01-05,戌時,19:00-21:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,庚戌,釵釧金,壬辰,子宮,五黃,九紫,七赤,二黑,土
1978-01-05,亥時,21:00-23:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,辛亥,釵釧金,壬辰,亥宮,五黃,九紫,七赤,三碧,木
1978-01-05,晚子時,23:00-24:00,,丁巳,沙中土,辛丑,壁上土,丁卯,爐中火,壬子,桑柘木,壬辰,戌宮,五黃,九紫,七赤,四綠,木
1978-01-06,早子時,00:00-01:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,壬子,桑柘木,壬辰,戌宮,五黃,九紫,八白,四綠,木
1978-01-06,丑時,01:00-03:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,癸丑,桑柘木,壬辰,酉宮,五黃,九紫,八白,五黃,土
1978-01-06,寅時,03:00-05:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,甲寅,大溪水,壬辰,申宮,五黃,九紫,八白,六白,金
1978-01-06,卯時,05:00-07:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,乙卯,大溪水,壬辰,未宮,五黃,九紫,八白,七赤,金
1978-01-06,辰時,07:00-09:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,丙辰,沙中土,壬辰,午宮,五黃,九紫,八白,八白,土
1978-01-06,巳時,09:00-11:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,丁巳,沙中土,壬辰,巳宮,五黃,九紫,八白,九紫,火
1978-01-06,午時,11:00-13:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,戊午,天上火,壬辰,辰宮,五黃,九紫,八白,一白,水
1978-01-06,未時,13:00-15:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,己未,天上火,壬辰,卯宮,五黃,九紫,八白,二黑,土
1978-01-06,申時,15:00-17:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,庚申,石榴木,壬辰,寅宮,五黃,九紫,八白,三碧,木
1978-01-06,酉時,17:00-19:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,辛酉,石榴木,壬辰,丑宮,五黃,九紫,八白,四綠,木
1978-01-06,戌時,19:00-21:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,壬戌,大海水,壬辰,子宮,五黃,九紫,八白,五黃,土
1978-01-06,亥時,21:00-23:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,癸亥,大海水,壬辰,亥宮,五黃,九紫,八白,六白,金
1978-01-06,晚子時,23:00-24:00,,丁巳,沙中土,辛丑,壁上土,戊辰,大林木,甲子,海中金,壬辰,戌宮,五黃,九紫,八白,七赤,金
1978-01-07,早子時,00:00-01:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,甲子,海中金,壬辰,戌宮,五黃,九紫,九紫,七赤,金
1978-01-07,丑時,01:00-03:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,乙丑,海中金,壬辰,酉宮,五黃,九紫,九紫,八白,土
1978-01-07,寅時,03:00-05:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,丙寅,爐中火,壬辰,申宮,五黃,九紫,九紫,九紫,火
1978-01-07,卯時,05:00-07:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,丁卯,爐中火,壬辰,未宮,五黃,九紫,九紫,一白,水
1978-01-07,辰時,07:00-09:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,戊辰,大林木,壬辰,午宮,五黃,九紫,九紫,二黑,土
1978-01-07,巳時,09:00-11:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,己巳,大林木,壬辰,巳宮,五黃,九紫,九紫,三碧,木
1978-01-07,午時,11:00-13:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,庚午,路旁土,壬辰,辰宮,五黃,九紫,九紫,四綠,木
1978-01-07,未時,13:00-15:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,辛未,路旁土,壬辰,卯宮,五黃,九紫,九紫,五黃,土
1978-01-07,申時,15:00-17:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,壬申,劍鋒金,壬辰,寅宮,五黃,九紫,九紫,六白,金
1978-01-07,酉時,17:00-19:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,癸酉,劍鋒金,壬辰,丑宮,五黃,九紫,九紫,七赤,金
1978-01-07,戌時,19:00-21:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,甲戌,山頭火,壬辰,子宮,五黃,九紫,九紫,八白,土
1978-01-07,亥時,21:00-23:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,乙亥,山頭火,壬辰,亥宮,五黃,九紫,九紫,九紫,火
1978-01-07,晚子時,23:00-24:00,,丁巳,沙中土,辛丑,壁上土,己巳,大林木,丙子,澗下水,壬辰,戌宮,五黃,九紫,九紫,一白,水
1978-01-08,早子時,00:00-01:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,丙子,澗下水,壬辰,戌宮,五黃,九紫,一白,一白,水
1978-01-08,丑時,01:00-03:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,丁丑,澗下水,壬辰,酉宮,五黃,九紫,一白,二黑,土
1978-01-08,寅時,03:00-05:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,戊寅,城頭土,壬辰,申宮,五黃,九紫,一白,三碧,木
1978-01-08,卯時,05:00-07:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,己卯,城頭土,壬辰,未宮,五黃,九紫,一白,四綠,木
1978-01-08,辰時,07:00-09:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,庚辰,白蠟金,壬辰,午宮,五黃,九紫,一白,五黃,土
1978-01-08,巳時,09:00-11:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,辛巳,白蠟金,壬辰,巳宮,五黃,九紫,一白,六白,金
1978-01-08,午時,11:00-13:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,壬午,楊柳木,壬辰,辰宮,五黃,九紫,一白,七赤,金
1978-01-08,未時,13:00-15:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,癸未,楊柳木,壬辰,卯宮,五黃,九紫,一白,八白,土
1978-01-08,申時,15:00-17:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,甲申,泉中水,壬辰,寅宮,五黃,九紫,一白,九紫,火
1978-01-08,酉時,17:00-19:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,乙酉,泉中水,壬辰,丑宮,五黃,九紫,一白,一白,水
1978-01-08,戌時,19:00-21:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,丙戌,屋上土,壬辰,子宮,五黃,九紫,一白,二黑,土
1978-01-08,亥時,21:00-23:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,丁亥,屋上土,壬辰,亥宮,五黃,九紫,一白,三碧,木
1978-01-08,晚子時,23:00-24:00,,丁巳,沙中土,辛丑,壁上土,庚午,路旁土,戊子,霹靂火,壬辰,戌宮,五黃,九紫,一白,四綠,木
1978-01-09,早子時,00:00-01:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,戊子,霹靂火,壬辰,戌宮,五黃,九紫,二黑,四綠,木
1978-01-09,丑時,01:00-03:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,己丑,霹靂火,壬辰,酉宮,五黃,九紫,二黑,五黃,土
1978-01-09,寅時,03:00-05:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,庚寅,松柏木,壬辰,申宮,五黃,九紫,二黑,六白,金
1978-01-09,卯時,05:00-07:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,辛卯,松柏木,壬辰,未宮,五黃,九紫,二黑,七赤,金
1978-01-09,辰時,07:00-09:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,壬辰,長流水,壬辰,午宮,五黃,九紫,二黑,八白,土
1978-01-09,巳時,09:00-11:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,癸巳,長流水,壬辰,巳宮,五黃,九紫,二黑,九紫,火
1978-01-09,午時,11:00-13:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,甲午,砂中金,壬辰,辰宮,五黃,九紫,二黑,一白,水
1978-01-09,未時,13:00-15:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,乙未,砂中金,壬辰,卯宮,五黃,九紫,二黑,二黑,土
1978-01-09,申時,15:00-17:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,丙申,山下火,壬辰,寅宮,五黃,九紫,二黑,三碧,木
1978-01-09,酉時,17:00-19:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,丁酉,山下火,壬辰,丑宮,五黃,九紫,二黑,四綠,木
1978-01-09,戌時,19:00-21:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,戊戌,平地木,壬辰,子宮,五黃,九紫,二黑,五黃,土
1978-01-09,亥時,21:00-23:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,己亥,平地木,壬辰,亥宮,五黃,九紫,二黑,六白,金
1978-01-09,晚子時,23:00-24:00,,丁巳,沙中土,辛丑,壁上土,辛未,路旁土,庚子,壁上土,壬辰,戌宮,五黃,九紫,二黑,七赤,金
1978-01-10,早子時,00:00-01:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,庚子,壁上土,壬辰,戌宮,五黃,九紫,三碧,七赤,金
1978-01-10,丑時,01:00-03:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,辛丑,壁上土,壬辰,酉宮,五黃,九紫,三碧,八白,土
1978-01-10,寅時,03:00-05:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,壬寅,金箔金,壬辰,申宮,五黃,九紫,三碧,九紫,火
1978-01-10,卯時,05:00-07:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,癸卯,金箔金,壬辰,未宮,五黃,九紫,三碧,一白,水
1978-01-10,辰時,07:00-09:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,甲辰,覆燈火,壬辰,午宮,五黃,九紫,三碧,二黑,土
1978-01-10,巳時,09:00-11:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,乙巳,覆燈火,壬辰,巳宮,五黃,九紫,三碧,三碧,木
1978-01-10,午時,11:00-13:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,丙午,天河水,壬辰,辰宮,五黃,九紫,三碧,四綠,木
1978-01-10,未時,13:00-15:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,丁未,天河水,壬辰,卯宮,五黃,九紫,三碧,五黃,土
1978-01-10,申時,15:00-17:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,戊申,大驛土,壬辰,寅宮,五黃,九紫,三碧,六白,金
1978-01-10,酉時,17:00-19:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,己酉,大驛土,壬辰,丑宮,五黃,九紫,三碧,七赤,金
1978-01-10,戌時,19:00-21:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,庚戌,釵釧金,壬辰,子宮,五黃,九紫,三碧,八白,土
1978-01-10,亥時,21:00-23:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,辛亥,釵釧金,壬辰,亥宮,五黃,九紫,三碧,九紫,火
1978-01-10,晚子時,23:00-24:00,,丁巳,沙中土,辛丑,壁上土,壬申,劍鋒金,壬子,桑柘木,壬辰,戌宮,五黃,九紫,三碧,一白,水
1978-01-11,早子時,00:00-01:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,壬子,桑柘木,壬辰,戌宮,五黃,九紫,四綠,一白,水
1978-01-11,丑時,01:00-03:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,癸丑,桑柘木,壬辰,酉宮,五黃,九紫,四綠,二黑,土
1978-01-11,寅時,03:00-05:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,甲寅,大溪水,壬辰,申宮,五黃,九紫,四綠,三碧,木
1978-01-11,卯時,05:00-07:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,乙卯,大溪水,壬辰,未宮,五黃,九紫,四綠,四綠,木
1978-01-11,辰時,07:00-09:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,丙辰,沙中土,壬辰,午宮,五黃,九紫,四綠,五黃,土
1978-01-11,巳時,09:00-11:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,丁巳,沙中土,壬辰,巳宮,五黃,九紫,四綠,六白,金
1978-01-11,午時,11:00-13:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,戊午,天上火,壬辰,辰宮,五黃,九紫,四綠,七赤,金
1978-01-11,未時,13:00-15:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,己未,天上火,壬辰,卯宮,五黃,九紫,四綠,八白,土
1978-01-11,申時,15:00-17:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,庚申,石榴木,壬辰,寅宮,五黃,九紫,四綠,九紫,火
1978-01-11,酉時,17:00-19:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,辛酉,石榴木,壬辰,丑宮,五黃,九紫,四綠,一白,水
1978-01-11,戌時,19:00-21:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,壬戌,大海水,壬辰,子宮,五黃,九紫,四綠,二黑,土
1978-01-11,亥時,21:00-23:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,癸亥,大海水,壬辰,亥宮,五黃,九紫,四綠,三碧,木
1978-01-11,晚子時,23:00-24:00,,丁巳,沙中土,辛丑,壁上土,癸酉,劍鋒金,甲子,海中金,壬辰,戌宮,五黃,九紫,四綠,四綠,木
1978-01-12,早子時,00:00-01:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,甲子,海中金,壬辰,戌宮,五黃,九紫,五黃,四綠,木
1978-01-12,丑時,01:00-03:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,乙丑,海中金,壬辰,酉宮,五黃,九紫,五黃,五黃,土
1978-01-12,寅時,03:00-05:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,丙寅,爐中火,壬辰,申宮,五黃,九紫,五黃,六白,金
1978-01-12,卯時,05:00-07:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,丁卯,爐中火,壬辰,未宮,五黃,九紫,五黃,七赤,金
1978-01-12,辰時,07:00-09:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,戊辰,大林木,壬辰,午宮,五黃,九紫,五黃,八白,土
1978-01-12,巳時,09:00-11:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,己巳,大林木,壬辰,巳宮,五黃,九紫,五黃,九紫,火
1978-01-12,午時,11:00-13:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,庚午,路旁土,壬辰,辰宮,五黃,九紫,五黃,一白,水
1978-01-12,未時,13:00-15:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,辛未,路旁土,壬辰,卯宮,五黃,九紫,五黃,二黑,土
1978-01-12,申時,15:00-17:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,壬申,劍鋒金,壬辰,寅宮,五黃,九紫,五黃,三碧,木
1978-01-12,酉時,17:00-19:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,癸酉,劍鋒金,壬辰,丑宮,五黃,九紫,五黃,四綠,木
1978-01-12,戌時,19:00-21:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,甲戌,山頭火,壬辰,子宮,五黃,九紫,五黃,五黃,土
1978-01-12,亥時,21:00-23:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,乙亥,山頭火,壬辰,亥宮,五黃,九紫,五黃,六白,金
1978-01-12,晚子時,23:00-24:00,,丁巳,沙中土,辛丑,壁上土,甲戌,山頭火,丙子,澗下水,壬辰,戌宮,五黃,九紫,五黃,七赤,金
1978-01-13,早子時,00:00-01:00,,丁巳,沙中土,辛丑,壁上土,乙亥,山頭火,丙子,澗下水,壬辰,戌宮,五黃,九紫,六白,七赤,金
1978-01-13,丑時,01:00-03:00,,丁巳,沙中土,辛丑,壁上土,乙亥,山頭火,丁丑,澗下水,壬辰,酉宮,五黃,九紫,六白,八白,土
1978-01-13,寅時,03:00-05:00,,丁巳,沙中土,辛丑,壁上土,乙亥,山頭火,戊寅,城頭土,壬辰,申宮,五黃,九紫,六白,九紫,火
1978-01-13,卯時,05:00-07:00,,丁巳,沙中土,辛丑,壁上土,乙亥,山頭火,己卯,城頭土,壬辰,未宮,五黃,九紫,六白,一白,水
1978-01-13,辰時,07:00-09:00,,丁巳,沙中土,辛丑,壁上土,乙亥,山頭火,庚辰,白蠟金,壬辰,午宮,五黃,九紫,六白,二黑,土
